2021-04-29 08:29:44,119 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 83 |k_down_up = 19 |start=1.00000000 |end=|1.01071133|percent = 1.071%
2021-04-29 08:30:14,972 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 84 |k_down_up = 19 |start=1.00000000 |end=|1.01061356|percent = 1.061%
2021-04-29 08:30:45,828 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 85 |k_down_up = 19 |start=1.00000000 |end=|1.00918438|percent = 0.918%
2021-04-29 08:31:16,706 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 86 |k_down_up = 19 |start=1.00000000 |end=|1.00910365|percent = 0.910%
2021-04-29 08:31:47,745 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 87 |k_down_up = 19 |start=1.00000000 |end=|1.00920601|percent = 0.921%
2021-04-29 08:32:18,504 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 88 |k_down_up = 19 |start=1.00000000 |end=|1.00861866|percent = 0.862%
2021-04-29 08:32:49,309 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 89 |k_down_up = 19 |start=1.00000000 |end=|1.00800597|percent = 0.801%
2021-04-29 08:33:20,040 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 90 |k_down_up = 19 |start=1.00000000 |end=|1.00743412|percent = 0.743%
2021-04-29 08:33:50,777 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 91 |k_down_up = 19 |start=1.00000000 |end=|1.00776555|percent = 0.777%
2021-04-29 08:34:21,431 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 92 |k_down_up = 19 |start=1.00000000 |end=|1.00977996|percent = 0.978%
